incident_id,accident_track_id,other_track_id,start_frame,end_frame,duration_frames,observations,peak_iou,peak_iou_frame,min_normalized_distance,min_distance_frame,initial_distance,final_distance,trend,classification
1,125,127,360,362,3,3,0.6019530414865784,362,0.1628530233372881,360,0.1628530233372881,0.1894530900089549,SEPARATING,HIGH_INTERACTION
2,125,127,346,346,1,1,0.5702037029255426,346,0.1850060605925067,346,0.1850060605925067,0.1850060605925067,STABLE,HIGH_INTERACTION
3,125,14,351,356,6,5,0.2193641668005234,356,0.0957011035529472,353,0.0984541779779087,0.0994829125970786,STABLE,INTERACTION
